2026-05-17 01:40:18 | INFO     | phishguard.audit | SCAN_EVENT | id=1a5d557c-ff3 | url=https://chatgpt.com/c/6a07e500-a49c-83ec-9762-c49... | risk=0 | level=safe | tier=standard | latency=14.9ms | client=127.0.0.1 | ts=2026-05-16T20:10:18.315372+00:00
2026-05-17 01:44:16 | INFO     | phishguard.audit | SCAN_EVENT | id=5df5d929-257 | url=http://secure-update-paypal-login.com | risk=17 | level=low | tier=fast | latency=0.69ms | client=127.0.0.1 | ts=2026-05-16T20:14:16.248406+00:00
2026-05-17 01:48:47 | INFO     | phishguard.audit | SCAN_EVENT | id=6621d200-a26 | url=http://secure-update-paypal-login.com | risk=17 | level=low | tier=fast | latency=1.08ms | client=127.0.0.1 | ts=2026-05-16T20:18:47.087812+00:00
2026-05-17 01:48:47 | INFO     | phishguard.audit | SCAN_EVENT | id=ae6cd7d4-08a | url=http://secure-update-paypal-login.com | risk=17 | level=low | tier=fast | latency=1.59ms | client=127.0.0.1 | ts=2026-05-16T20:18:47.094095+00:00
2026-05-17 01:50:36 | INFO     | phishguard.audit | SCAN_EVENT | id=24bb1e5c-9e9 | url=https://chatgpt.com/c/6a07e500-a49c-83ec-9762-c49... | risk=0 | level=safe | tier=standard | latency=3.29ms | client=127.0.0.1 | ts=2026-05-16T20:20:36.418597+00:00
2026-05-17 01:50:36 | INFO     | phishguard.audit | SCAN_EVENT | id=64c24e46-9f7 | url=https://chatgpt.com/c/6a07e500-a49c-83ec-9762-c49... | risk=0 | level=safe | tier=standard | latency=0.83ms | client=127.0.0.1 | ts=2026-05-16T20:20:36.423154+00:00
2026-05-17 01:50:54 | INFO     | phishguard.audit | SCAN_EVENT | id=cd2c4334-0ce | url=https://chatgpt.com/c/6a07e500-a49c-83ec-9762-c49... | risk=0 | level=safe | tier=standard | latency=0.8ms | client=127.0.0.1 | ts=2026-05-16T20:20:54.571947+00:00
2026-05-17 01:50:54 | INFO     | phishguard.audit | SCAN_EVENT | id=4a301473-e5c | url=https://chatgpt.com/c/6a07e500-a49c-83ec-9762-c49... | risk=0 | level=safe | tier=standard | latency=1.04ms | client=127.0.0.1 | ts=2026-05-16T20:20:54.579859+00:00
2026-05-17 01:51:24 | INFO     | phishguard.audit | SCAN_EVENT | id=03b0df76-1cf | url=https://chatgpt.com/c/6a07e500-a49c-83ec-9762-c49... | risk=0 | level=safe | tier=standard | latency=1.34ms | client=127.0.0.1 | ts=2026-05-16T20:21:24.487156+00:00
2026-05-17 01:54:41 | INFO     | phishguard.audit | SCAN_EVENT | id=45197a93-d58 | url=http://fake-bank-login.com | risk=6 | level=safe | tier=fast | latency=0.48ms | client=127.0.0.1 | ts=2026-05-16T20:24:41.038820+00:00
2026-05-17 01:54:41 | INFO     | phishguard.audit | SCAN_EVENT | id=b56bf375-bc7 | url=http://fake-bank-login.com | risk=6 | level=safe | tier=fast | latency=0.48ms | client=127.0.0.1 | ts=2026-05-16T20:24:41.041207+00:00
2026-05-17 01:55:03 | INFO     | phishguard.audit | SCAN_EVENT | id=a0710673-67b | url=http://fake-bank-logihttps//secure-login-update.netn.com | risk=32 | level=medium | tier=standard | latency=1.2ms | client=127.0.0.1 | ts=2026-05-16T20:25:03.682512+00:00
2026-05-17 01:56:50 | INFO     | phishguard.audit | SCAN_EVENT | id=486f6790-c7b | url=https://chatgpt.com/c/6a07e500-a49c-83ec-9762-c49... | risk=0 | level=safe | tier=standard | latency=0.96ms | client=127.0.0.1 | ts=2026-05-16T20:26:50.763058+00:00
2026-05-17 01:56:50 | INFO     | phishguard.audit | SCAN_EVENT | id=71406e05-f6c | url=https://chatgpt.com/c/6a07e500-a49c-83ec-9762-c49... | risk=0 | level=safe | tier=standard | latency=0.44ms | client=127.0.0.1 | ts=2026-05-16T20:26:50.765939+00:00
